text,link,label1,label2,friends,family,coworkers,general_internet_community,specific_internet_community,creative_label_1,creative_label_2,creative_label_3,creative_label_4,creative_label_5,creative_label_6,creative_label_7
DID REALLY WELL IN MY ALGO EXAMMMM!!!!!!!!! WOOHOOOOO!!!!!!!!!!,https://twitter.com/TheAmyDance/status/717083831006797825,family,friends,2,3,1,1,-7,,computer science students,,,,,
Sitting with a book and a fire in Piedmont. Cant really think of a better way to relax. #f52life… https://www.instagram.com/p/BDyQOE5S55I/ ,https://twitter.com/gothmog/status/717027508424544256,friends,general_internet_community,2,-5,1,1,1,,stressed people,,,,,
Inspiring collection of stories http://www.techiesproject.com/  I'd love to see this for techies outside of SV for some geographic diversity.,https://twitter.com/auditty/status/717076148841279488,general_internet_community,coworkers,-6,1,2,2,1,techies,writers,,,,,
I’ve muted a thread in Gmail but it keeps coming back to my inbox (Phabricator emails). Any idea what’s going on?,https://twitter.com/jasonbrennan/status/717000893799997440,general_internet_community,coworkers,0,-7,3,4,0,,gmail,workers,,,,
"Fellow gluten-free people: how vital is it for your non-face moisturizers to be gluten-free, in your experience?",https://twitter.com/Aleen/status/717054507905986560,general_internet_community,friends,2,-6,0,3,1,gluten-free people,,,,,,
"""I was really comfy, and I had grown as much as I could, so I took a leap"" @cassidoo on career decisions #ABIdotNYC #WomenInTech",https://twitter.com/abidotlocal/status/717022092231884801,general_internet_community,specific_internet_community,0,0,-3,2,1,,admirers,children,,,,
"This is definitely going to be a great time. 3 @tumblr engineers, so much Swift.",https://twitter.com/mb/status/717011022079508480,friends,coworkers,3,-6,2,0,1,,devs,engineers,,,,
Legends of Tomorrow is like someone decided that Inspector Spacetime from Community was a great idea for a show but never saw Doctor Who.,https://twitter.com/dwiskus/status/716846224008208384,friends,coworkers,3,0,1,-4,0,,gamers,doctor who fans,,,,
"TONIGHT: @SyracuseSPJ hosts ""Perspectives on Political Reporting"" panel at 6:45 in N3 141 with @CortRuddy, @leximccammond + @colleendeacon",https://twitter.com/ellenkmeyers/status/717064623434936320,specific_internet_community,family,0,2,0,-4,2,,politcians,journalists,,,,
U know what I wish there was? Mouthwash samples so I know whether or not I can commit to the taste of a whole bottle.   #itsTheSmallThings,https://twitter.com/TheAmyDance/status/717055530959839232,family,general_internet_community,-4,2,0,1,1,,siblings,hashtag activists,,,,
